instance_num,rps,cpu,mem,avg_vio_rate
1,1,0.06624013769999999,5212160.0,0.0
1,10,0.16629776770000002,38280396.8,0.7902376336713975
1,11,0.162637219,43555635.2,0.8714640563600433
1,12,0.1761875675,48701849.6,0.8704845906687291
1,13,0.17756929810000002,55491788.8,0.8687201873277599
1,14,0.1584662567,49256448.0,0.8567995832212114
1,15,0.17703093350000002,65749811.2,0.8648442609391285
1,16,0.1649770738,55230873.6,0.877766511762945
1,17,0.16110852140000004,54624665.6,0.7952706871359555
1,18,0.16679776959999998,56728780.8,0.8950285352868953
1,19,0.1620051379,62275584.0,0.8787462614415718
1,2,0.1591417256,11317248.0,0.0
1,20,0.1673757499,65566310.4,0.8449567482961327
1,3,0.17460081170000002,24073011.2,0.5994591316946413
1,4,0.1644932119,26994278.4,0.6628997271937493
1,5,0.1786922423,25708953.6,0.7355932872759934
1,6,0.1576069837,29095936.0,0.7365560875362608
1,7,0.17476927430000003,35051520.0,0.8114013120986497
1,8,0.16038625229999998,36401152.0,0.7068045279853374
1,9,0.1808491775,39961804.8,0.8533733182972065
2,1,0.03273664685000001,8582144.0,0.0
2,10,0.13876092585000002,22835404.8,0.3428281886716765
2,11,0.12982481625000003,29005824.0,0.47646035080623683
2,12,0.1580881358,31867289.6,0.4555073343045481
2,13,0.16704904995,32960307.2,0.47568818443668065
2,14,0.15217437225000002,34803097.6,0.45066626598211545
2,15,0.1488590948,33914060.8,0.4768447718407115
2,16,0.14997804255,36734771.2,0.5077216058153585
2,17,0.14846574105000002,35207987.2,0.538190107295358
2,18,0.14900321625000001,38264832.0,0.5574476634195223
2,19,0.1279821121,35548569.6,0.4695382828611077
2,2,0.06279536565,10160537.6,0.0
2,20,0.14211176595000002,34786508.8,0.5545642171512827
2,3,0.0848326583,11970764.8,0.0015094339622641509
2,4,0.11131097855000001,16069836.8,0.018967818939179766
2,5,0.13292589635000002,20712243.2,0.15902850952757472
2,6,0.14549633275,21443379.2,0.27025515218636903
2,7,0.14371327450000002,21029683.2,0.3074668180963313
2,8,0.14318900995,22057574.4,0.3250614137200967
2,9,0.14595868280000002,25048064.0,0.43602236123236127
3,1,0.02149292376666667,8992768.0,0.0
3,10,0.12848025973333332,19072477.866666667,0.29792071673182685
3,11,0.14805129583333337,21586193.066666666,0.2510744139875911
3,12,0.13982493410000002,21848610.133333333,0.312961265471796
3,13,0.13501376620000002,22441847.46666667,0.327717479333027
3,14,0.1405646213,28713642.666666668,0.28407907226837964
3,15,0.12549135760000002,23892377.6,0.3789415138474889
3,16,0.1291114937666667,25445853.866666667,0.34701248292754966
3,17,0.13203205666666665,22080170.666666668,0.36925957454197633
3,18,0.12656805110000002,27302843.73333333,0.40621603890340363
3,19,0.14134762883333335,32029354.666666668,0.31209483713618796
3,2,0.040510639466666665,8485546.666666668,0.0
3,20,0.1593485619,30545100.800000004,0.3386824491898695
3,3,0.05358373753333333,10582698.666666668,0.0
3,4,0.07096632533333333,11234372.26666667,0.0
3,5,0.09265073620000001,11718929.066666665,0.02909134883274007
3,6,0.10704589383333334,16175786.666666666,0.038782822046112865
3,7,0.13094102650000003,17227775.999999996,0.07284497641962216
3,8,0.12437923266666666,19354692.266666666,0.10563207103912833
3,9,0.15294610853333332,19305813.333333336,0.12444234617593168
4,1,0.020799959525,8810598.4,0.0
4,10,0.111953945075,16681369.6,0.05055267699034795
4,11,0.12228068497500003,17245286.4,0.06537889856836795
4,12,0.13312713340000001,17712332.8,0.10656351173053535
4,13,0.12822690375000004,17695436.8,0.10671896765005424
4,14,0.13173335540000003,18098483.2,0.09550258909652823
4,15,0.12587388332500002,19876966.4,0.16932442101629985
4,16,0.13607139612500002,22048563.2,0.1705825509978423
4,17,0.12903145172500002,19016192.0,0.15603740704326124
4,18,0.1167724828,21498368.0,0.21945915993691828
4,19,0.13543524445000002,23780966.4,0.16992656323821903
4,2,0.036266308875,8942694.4,0.0
4,20,0.12946807632500001,25653657.6,0.2288521090885962
4,3,0.042943313574999996,9491763.2,0.0
4,4,0.05510834835,12162560.0,0.0
4,5,0.0679207033,13081702.4,0.011877096077725802
4,6,0.07370265957500001,12670566.4,0.003062642983942058
4,7,0.085044656675,14228480.0,0.031399774161767376
4,8,0.09316448912500001,15453184.0,0.053403443685481444
4,9,0.1102737174,14617292.8,0.051309829093577786
